Year	Region	CategoryID	CO2eq
1990	Alberta	100	151398.2746
1991	Alberta	100	152259.6046
1992	Alberta	100	160321.8755
1993	Alberta	100	164191.6517
1994	Alberta	100	172062.034
1995	Alberta	100	176127.7771
1996	Alberta	100	181430.9698
1997	Alberta	100	185177.3244
1998	Alberta	100	186493.9281
1999	Alberta	100	193430.2206
2000	Alberta	100	200473.4165
2001	Alberta	100	199963.6482
2002	Alberta	100	199709.4543
2003	Alberta	100	205553.6717
2004	Alberta	100	202435.4977
2005	Alberta	100	199473.2191
2006	Alberta	100	205710.7549
2007	Alberta	100	215590.8097
2008	Alberta	100	210029.6779
2009	Alberta	100	204265.9777
2010	Alberta	100	209780.488
2011	Alberta	100	217679.4508
2012	Alberta	100	226704.217
2013	Alberta	100	238087.505
2014	Alberta	100	244203.3194
2015	Alberta	100	241895.6509
2016	Alberta	100	231670.2285
2017	Alberta	100	239840.6539
2018	Alberta	100	238783.3646
1990	Alberta	130	29223.03126
1991	Alberta	130	28541.97373
1992	Alberta	130	30755.77538
1993	Alberta	130	33122.96745
1994	Alberta	130	32899.4167
1995	Alberta	130	32507.45074
1996	Alberta	130	32581.14734
1997	Alberta	130	31734.99446
1998	Alberta	130	33482.65853
1999	Alberta	130	43594.85235
2000	Alberta	130	48215.76005
2001	Alberta	130	49961.36057
2002	Alberta	130	51964.28565
2003	Alberta	130	55256.10193
2004	Alberta	130	52816.56667
2005	Alberta	130	49698.40644
2006	Alberta	130	52844.90889
2007	Alberta	130	59984.1555
2008	Alberta	130	55802.90009
2009	Alberta	130	57121.65544
2010	Alberta	130	58215.21341
2011	Alberta	130	64130.08195
2012	Alberta	130	70624.14511
2013	Alberta	130	76079.25125
2014	Alberta	130	79288.57868
2015	Alberta	130	81970.32965
2016	Alberta	130	83448.4389
2017	Alberta	130	86874.64436
2018	Alberta	130	90224.89785
1990	Alberta	200	22294.38153
1991	Alberta	200	20640.5126
1992	Alberta	200	21147.08484
1993	Alberta	200	21630.31336
1994	Alberta	200	24038.62145
1995	Alberta	200	24289.87694
1996	Alberta	200	25736.12969
1997	Alberta	200	28134.09393
1998	Alberta	200	29115.71534
1999	Alberta	200	29401.57855
2000	Alberta	200	29903.89893
2001	Alberta	200	31987.74864
2002	Alberta	200	30830.34067
2003	Alberta	200	31634.28711
2004	Alberta	200	32956.10039
2005	Alberta	200	34007.51339
2006	Alberta	200	36648.18465
2007	Alberta	200	37289.13678
2008	Alberta	200	37483.91502
2009	Alberta	200	36028.93257
2010	Alberta	200	39060.43379
2011	Alberta	200	38688.10027
2012	Alberta	200	40223.27376
2013	Alberta	200	42782.31695
2014	Alberta	200	43985.9594
2015	Alberta	200	41773.79175
2016	Alberta	200	40033.67837
2017	Alberta	200	42452.51367
2018	Alberta	200	44993.18951
