Year	Region	CategoryID	CO2eq
1990	BritishColumbia	100	42043.35657
1991	BritishColumbia	100	40916.99734
1992	BritishColumbia	100	39901.54159
1993	BritishColumbia	100	42609.1599
1994	BritishColumbia	100	45077.66944
1995	BritishColumbia	100	48663.97598
1996	BritishColumbia	100	50267.4951
1997	BritishColumbia	100	48961.8215
1998	BritishColumbia	100	49920.67589
1999	BritishColumbia	100	51290.22868
2000	BritishColumbia	100	52075.44687
2001	BritishColumbia	100	54120.55495
2002	BritishColumbia	100	50882.53101
2003	BritishColumbia	100	50411.19511
2004	BritishColumbia	100	51900.22407
2005	BritishColumbia	100	50512.00983
2006	BritishColumbia	100	49460.62235
2007	BritishColumbia	100	49705.21884
2008	BritishColumbia	100	50460.32081
2009	BritishColumbia	100	47362.47724
2010	BritishColumbia	100	47180.99514
2011	BritishColumbia	100	48365.10768
2012	BritishColumbia	100	49191.57053
2013	BritishColumbia	100	50358.3188
2014	BritishColumbia	100	50457.11195
2015	BritishColumbia	100	49637.02532
2016	BritishColumbia	100	51774.51517
2017	BritishColumbia	100	53445.0082
2018	BritishColumbia	100	55380.55797
1990	BritishColumbia	130	2144.093308
1991	BritishColumbia	130	1414.166858
1992	BritishColumbia	130	699.9398141
1993	BritishColumbia	130	775.6552282
1994	BritishColumbia	130	1608.896135
1995	BritishColumbia	130	2719.398819
1996	BritishColumbia	130	3427.96531
1997	BritishColumbia	130	2109.459456
1998	BritishColumbia	130	3010.97212
1999	BritishColumbia	130	4330.371096
2000	BritishColumbia	130	3201.376175
2001	BritishColumbia	130	4542.187497
2002	BritishColumbia	130	4852.558967
2003	BritishColumbia	130	5196.456683
2004	BritishColumbia	130	5587.775426
2005	BritishColumbia	130	5391.154123
2006	BritishColumbia	130	6034.543621
2007	BritishColumbia	130	6403.305889
2008	BritishColumbia	130	6634.352461
2009	BritishColumbia	130	6838.12208
2010	BritishColumbia	130	6970.2864
2011	BritishColumbia	130	7770.74053
2012	BritishColumbia	130	8204.516546
2013	BritishColumbia	130	8162.515899
2014	BritishColumbia	130	8234.277107
2015	BritishColumbia	130	7071.514247
2016	BritishColumbia	130	7443.139837
2017	BritishColumbia	130	7607.01373
2018	BritishColumbia	130	8265.765363
1990	BritishColumbia	200	18453.41851
1991	BritishColumbia	200	18663.97962
1992	BritishColumbia	200	18900.86808
1993	BritishColumbia	200	19452.63588
1994	BritishColumbia	200	20589.82034
1995	BritishColumbia	200	21637.61789
1996	BritishColumbia	200	22354.60925
1997	BritishColumbia	200	23102.85048
1998	BritishColumbia	200	23669.2218
1999	BritishColumbia	200	23471.90235
2000	BritishColumbia	200	23581.66245
2001	BritishColumbia	200	23291.41878
2002	BritishColumbia	200	22766.83561
2003	BritishColumbia	200	23069.08937
2004	BritishColumbia	200	24206.87514
2005	BritishColumbia	200	23309.29836
2006	BritishColumbia	200	22797.08341
2007	BritishColumbia	200	23209.96766
2008	BritishColumbia	200	23661.4848
2009	BritishColumbia	200	21564.15185
2010	BritishColumbia	200	22018.95734
2011	BritishColumbia	200	21237.32809
2012	BritishColumbia	200	22234.32669
2013	BritishColumbia	200	23597.99146
2014	BritishColumbia	200	23787.87987
2015	BritishColumbia	200	24925.37611
2016	BritishColumbia	200	26292.86095
2017	BritishColumbia	200	27224.15523
2018	BritishColumbia	200	28698.22544
