Year	Region	CategoryID	CO2eq
1990	Canada	100	478660.0143
1991	Canada	100	468909.2643
1992	Canada	100	486994.4282
1993	Canada	100	488346.4773
1994	Canada	100	505384.555
1995	Canada	100	519548.5955
1996	Canada	100	537608.715
1997	Canada	100	552779.812
1998	Canada	100	562679.9916
1999	Canada	100	577594.9324
2000	Canada	100	600027.8454
2001	Canada	100	592270.5126
2002	Canada	100	594271.9018
2003	Canada	100	606735.5825
2004	Canada	100	602108.1815
2005	Canada	100	593443.0385
2006	Canada	100	585000.0877
2007	Canada	100	608556.5257
2008	Canada	100	590065.6762
2009	Canada	100	558390.8054
2010	Canada	100	566899.5242
2011	Canada	100	575251.2764
2012	Canada	100	576757.0249
2013	Canada	100	587303.2686
2014	Canada	100	591490.4463
2015	Canada	100	589854.8881
2016	Canada	100	573678.5923
2017	Canada	100	583505.2387
2018	Canada	100	595995.2213
1990	Canada	130	34736.51554
1991	Canada	130	31703.32233
1992	Canada	130	34270.5532
1993	Canada	130	37283.94241
1994	Canada	130	38881.83982
1995	Canada	130	39903.60433
1996	Canada	130	40010.09725
1997	Canada	130	38217.995
1998	Canada	130	41927.72727
1999	Canada	130	54022.29105
2000	Canada	130	57781.16881
2001	Canada	130	60845.68838
2002	Canada	130	64193.86114
2003	Canada	130	67161.61219
2004	Canada	130	65519.14697
2005	Canada	130	62683.63392
2006	Canada	130	66041.84163
2007	Canada	130	73888.11533
2008	Canada	130	69860.51041
2009	Canada	130	72021.79943
2010	Canada	130	73121.90257
2011	Canada	130	79663.53852
2012	Canada	130	85655.5711
2013	Canada	130	91121.01372
2014	Canada	130	95513.79358
2015	Canada	130	97260.29703
2016	Canada	130	98523.80042
2017	Canada	130	101846.4249
2018	Canada	130	105979.9313
1990	Canada	200	145239.2624
1991	Canada	200	139996.8349
1992	Canada	200	143923.3763
1993	Canada	200	147650.8324
1994	Canada	200	154785.751
1995	Canada	200	159084.1143
1996	Canada	200	163233.3289
1997	Canada	200	169185.4076
1998	Canada	200	172388.2753
1999	Canada	200	177195.6514
2000	Canada	200	178167.808
2001	Canada	200	176173.9016
2002	Canada	200	177598.8615
2003	Canada	200	181784.7244
2004	Canada	200	186029.7915
2005	Canada	200	190518.092
2006	Canada	200	190266.9848
2007	Canada	200	193433.4819
2008	Canada	200	192716.1933
2009	Canada	200	187280.0927
2010	Canada	200	194676.0566
2011	Canada	200	195935.1955
2012	Canada	200	195979.6306
2013	Canada	200	200892.1631
2014	Canada	200	199301.1163
2015	Canada	200	201170.0205
2016	Canada	200	201148.7124
2017	Canada	200	207038.1969
2018	Canada	200	216948.9103
