Year	Region	CategoryID	CO2eq
1990	Manitoba	100	12526.94376
1991	Manitoba	100	12061.3924
1992	Manitoba	100	12154.79191
1993	Manitoba	100	12137.23915
1994	Manitoba	100	12210.74919
1995	Manitoba	100	12808.04556
1996	Manitoba	100	13297.6812
1997	Manitoba	100	12785.50206
1998	Manitoba	100	12888.20116
1999	Manitoba	100	12798.23449
2000	Manitoba	100	13129.4821
2001	Manitoba	100	11881.19076
2002	Manitoba	100	12196.19636
2003	Manitoba	100	12341.4152
2004	Manitoba	100	12568.16277
2005	Manitoba	100	12319.6822
2006	Manitoba	100	12057.08863
2007	Manitoba	100	12731.63073
2008	Manitoba	100	12383.17927
2009	Manitoba	100	11559.448
2010	Manitoba	100	11219.92231
2011	Manitoba	100	11448.59847
2012	Manitoba	100	12618.65629
2013	Manitoba	100	12752.83506
2014	Manitoba	100	13146.30775
2015	Manitoba	100	12603.82378
2016	Manitoba	100	12787.85573
2017	Manitoba	100	12534.55002
2018	Manitoba	100	13379.91747
1990	Manitoba	130	1.0834488
1991	Manitoba	130	1.0834488
1992	Manitoba	130	1.3930056
1993	Manitoba	130	1.2382272
1994	Manitoba	130	1.2382272
1995	Manitoba	130	1.2382272
1996	Manitoba	130	0.6191136
1997	Manitoba	130	0.4643352
1998	Manitoba	130	1.0834488
1999	Manitoba	130	0.6191136
2000	Manitoba	130	0.3095568
2001	Manitoba	130	0.4643352
2002	Manitoba	130	0.4643352
2003	Manitoba	130	0.4643352
2004	Manitoba	130	0.6191136
2005	Manitoba	130	0.4643352
2006	Manitoba	130	2.4764544
2007	Manitoba	130	0.4643352
2008	Manitoba	130	0.4643352
2009	Manitoba	130	0.3095568
2010	Manitoba	130	0.3095568
2011	Manitoba	130	0.4643352
2012	Manitoba	130	0.4643352
2013	Manitoba	130	0.4643352
2014	Manitoba	130	0.3095568
2015	Manitoba	130	1.10E-14
2016	Manitoba	130	0
2017	Manitoba	130	0
2018	Manitoba	130	0
1990	Manitoba	200	7094.272921
1991	Manitoba	200	6922.935556
1992	Manitoba	200	7167.507905
1993	Manitoba	200	7185.674676
1994	Manitoba	200	7407.452714
1995	Manitoba	200	7862.629835
1996	Manitoba	200	7864.813203
1997	Manitoba	200	7639.029742
1998	Manitoba	200	7255.062765
1999	Manitoba	200	7415.26133
2000	Manitoba	200	7176.079807
2001	Manitoba	200	6778.558087
2002	Manitoba	200	6893.799116
2003	Manitoba	200	7009.415989
2004	Manitoba	200	7372.523022
2005	Manitoba	200	7516.91632
2006	Manitoba	200	7384.55091
2007	Manitoba	200	7589.677379
2008	Manitoba	200	7055.631222
2009	Manitoba	200	6676.732654
2010	Manitoba	200	6989.651315
2011	Manitoba	200	7204.301724
2012	Manitoba	200	8309.665837
2013	Manitoba	200	8064.162828
2014	Manitoba	200	8455.772193
2015	Manitoba	200	8116.250391
2016	Manitoba	200	8322.496317
2017	Manitoba	200	8608.928753
2018	Manitoba	200	9283.320411
