Year	Region	CategoryID	CO2eq
1990	NewBrunswick	100	14945.10468
1991	NewBrunswick	100	14259.75498
1992	NewBrunswick	100	14958.07742
1993	NewBrunswick	100	14178.61569
1994	NewBrunswick	100	15547.89345
1995	NewBrunswick	100	15993.14193
1996	NewBrunswick	100	15464.77017
1997	NewBrunswick	100	18025.67967
1998	NewBrunswick	100	18927.02538
1999	NewBrunswick	100	17962.34072
2000	NewBrunswick	100	19145.20133
2001	NewBrunswick	100	20933.64854
2002	NewBrunswick	100	19568.66398
2003	NewBrunswick	100	19192.08813
2004	NewBrunswick	100	20040.46102
2005	NewBrunswick	100	18502.78841
2006	NewBrunswick	100	18138.40814
2007	NewBrunswick	100	18286.77653
2008	NewBrunswick	100	17101.23044
2009	NewBrunswick	100	16203.27694
2010	NewBrunswick	100	15688.32644
2011	NewBrunswick	100	16359.30485
2012	NewBrunswick	100	14579.9337
2013	NewBrunswick	100	12802.785
2014	NewBrunswick	100	12123.21381
2015	NewBrunswick	100	12466.58313
2016	NewBrunswick	100	13033.51304
2017	NewBrunswick	100	12036.29498
2018	NewBrunswick	100	11707.98045
1990	NewBrunswick	130	0
1991	NewBrunswick	130	0
1992	NewBrunswick	130	0
1993	NewBrunswick	130	0
1994	NewBrunswick	130	0
1995	NewBrunswick	130	0
1996	NewBrunswick	130	0
1997	NewBrunswick	130	0
1998	NewBrunswick	130	0
1999	NewBrunswick	130	0
2000	NewBrunswick	130	0
2001	NewBrunswick	130	0
2002	NewBrunswick	130	0
2003	NewBrunswick	130	0
2004	NewBrunswick	130	0
2005	NewBrunswick	130	0
2006	NewBrunswick	130	0
2007	NewBrunswick	130	0.1547784
2008	NewBrunswick	130	0.1547784
2009	NewBrunswick	130	0
2010	NewBrunswick	130	0
2011	NewBrunswick	130	0.1547784
2012	NewBrunswick	130	8.6675904
2013	NewBrunswick	130	41.1710544
2014	NewBrunswick	130	35.2894752
2015	NewBrunswick	130	29.2531176
2016	NewBrunswick	130	25.6932144
2017	NewBrunswick	130	26.0027712
2018	NewBrunswick	130	34.3608048
1990	NewBrunswick	200	4091.368208
1991	NewBrunswick	200	4026.592757
1992	NewBrunswick	200	4088.177357
1993	NewBrunswick	200	4169.969815
1994	NewBrunswick	200	4359.528215
1995	NewBrunswick	200	4325.354795
1996	NewBrunswick	200	4475.527617
1997	NewBrunswick	200	4559.263685
1998	NewBrunswick	200	4719.818363
1999	NewBrunswick	200	4968.441276
2000	NewBrunswick	200	5136.211583
2001	NewBrunswick	200	5069.776946
2002	NewBrunswick	200	5124.266311
2003	NewBrunswick	200	5059.147616
2004	NewBrunswick	200	5114.510049
2005	NewBrunswick	200	5140.765867
2006	NewBrunswick	200	5080.872912
2007	NewBrunswick	200	4973.0562
2008	NewBrunswick	200	4745.85535
2009	NewBrunswick	200	4426.618122
2010	NewBrunswick	200	4960.449317
2011	NewBrunswick	200	5600.970033
2012	NewBrunswick	200	4947.882027
2013	NewBrunswick	200	4053.115025
2014	NewBrunswick	200	3725.135166
2015	NewBrunswick	200	3994.073479
2016	NewBrunswick	200	4364.173879
2017	NewBrunswick	200	3923.424732
2018	NewBrunswick	200	3880.788508
