Year	Region	CategoryID	CO2eq
1990	NL	100	8936.222078
1991	NL	100	7875.402001
1992	NL	100	7767.004949
1993	NL	100	7911.234399
1994	NL	100	6956.896392
1995	NL	100	7876.319969
1996	NL	100	7978.670409
1997	NL	100	8504.25203
1998	NL	100	9816.38169
1999	NL	100	8858.887876
2000	NL	100	8407.967822
2001	NL	100	9163.839691
2002	NL	100	11169.22804
2003	NL	100	10861.74003
2004	NL	100	10052.49482
2005	NL	100	9639.849821
2006	NL	100	9314.145771
2007	NL	100	10267.85008
2008	NL	100	9809.534495
2009	NL	100	9312.80357
2010	NL	100	9207.694212
2011	NL	100	9416.159609
2012	NL	100	9006.060992
2013	NL	100	9119.43078
2014	NL	100	10052.05055
2015	NL	100	10108.57296
2016	NL	100	10294.45263
2017	NL	100	10143.88874
2018	NL	100	10106.7518
1990	NL	130	0
1991	NL	130	0
1992	NL	130	0
1993	NL	130	0.1779784
1994	NL	130	0
1995	NL	130	0
1996	NL	130	6.15306292
1997	NL	130	16.21293506
1998	NL	130	214.493744
1999	NL	130	638.5274488
2000	NL	130	509.8981734
2001	NL	130	435.4874251
2002	NL	130	682.3931982
2003	NL	130	806.8151218
2004	NL	130	699.9201504
2005	NL	130	763.623304
2006	NL	130	677.588768
2007	NL	130	1016.917528
2008	NL	130	1043.101952
2009	NL	130	1019.589408
2010	NL	130	1037.223816
2011	NL	130	1053.831841
2012	NL	130	842.217819
2013	NL	130	1056.008711
2014	NL	130	1127.540453
2015	NL	130	1028.73217
2016	NL	130	1170.794972
2017	NL	130	1168.10442
2018	NL	130	1322.989772
1990	NL	200	3348.72023
1991	NL	200	3191.973452
1992	NL	200	3152.300346
1993	NL	200	3277.388604
1994	NL	200	3281.047375
1995	NL	200	3230.088965
1996	NL	200	3280.998304
1997	NL	200	3352.517381
1998	NL	200	3377.675051
1999	NL	200	3487.320288
2000	NL	200	3628.477053
2001	NL	200	3690.425056
2002	NL	200	3790.926799
2003	NL	200	4023.235612
2004	NL	200	3803.37152
2005	NL	200	3958.653261
2006	NL	200	3843.8755
2007	NL	200	4116.358606
2008	NL	200	4245.823465
2009	NL	200	4003.193321
2010	NL	200	4089.438049
2011	NL	200	4455.332962
2012	NL	200	4304.274422
2013	NL	200	3955.363469
2014	NL	200	4260.302277
2015	NL	200	4396.011631
2016	NL	200	4400.394513
2017	NL	200	4303.455058
2018	NL	200	4393.137215
