Year	Region	CategoryID	CO2eq
1990	NovaScotia	100	18101.59115
1991	NovaScotia	100	17788.72318
1992	NovaScotia	100	18190.40629
1993	NovaScotia	100	18204.61927
1994	NovaScotia	100	17580.46004
1995	NovaScotia	100	17350.76
1996	NovaScotia	100	17349.18744
1997	NovaScotia	100	18227.61158
1998	NovaScotia	100	18248.64727
1999	NovaScotia	100	18941.10236
2000	NovaScotia	100	20587.4355
2001	NovaScotia	100	19897.31836
2002	NovaScotia	100	19022.08372
2003	NovaScotia	100	20568.82426
2004	NovaScotia	100	22269.21336
2005	NovaScotia	100	21625.77656
2006	NovaScotia	100	20433.27226
2007	NovaScotia	100	22062.55206
2008	NovaScotia	100	19880.94324
2009	NovaScotia	100	19449.6599
2010	NovaScotia	100	19067.38447
2011	NovaScotia	100	19646.56734
2012	NovaScotia	100	17963.14358
2013	NovaScotia	100	16903.14686
2014	NovaScotia	100	15166.4769
2015	NovaScotia	100	15360.3521
2016	NovaScotia	100	14210.34094
2017	NovaScotia	100	14778.88851
2018	NovaScotia	100	15496.32302
1990	NovaScotia	130	46.4059802
1991	NovaScotia	130	74.7045102
1992	NovaScotia	130	14.0370936
1993	NovaScotia	130	3.2036112
1994	NovaScotia	130	14.0218504
1995	NovaScotia	130	44.4946
1996	NovaScotia	130	79.55278523
1997	NovaScotia	130	50.7660163
1998	NovaScotia	130	30.7457686
1999	NovaScotia	130	67.3541457
2000	NovaScotia	130	374.7340729
2001	NovaScotia	130	234.2187337
2002	NovaScotia	130	388.046617
2003	NovaScotia	130	538.38382
2004	NovaScotia	130	419.9071264
2005	NovaScotia	130	301.5428424
2006	NovaScotia	130	244.6317984
2007	NovaScotia	130	197.6067104
2008	NovaScotia	130	235.2793368
2009	NovaScotia	130	320.6247184
2010	NovaScotia	130	420.0186544
2011	NovaScotia	130	621.7455944
2012	NovaScotia	130	533.9955208
2013	NovaScotia	130	536.2878032
2014	NovaScotia	130	727.285736
2015	NovaScotia	130	564.568244
2016	NovaScotia	130	414.675776
2017	NovaScotia	130	283.753656
2018	NovaScotia	130	183.558156
1990	NovaScotia	200	4870.498854
1991	NovaScotia	200	4564.532489
1992	NovaScotia	200	4664.128555
1993	NovaScotia	200	4770.288991
1994	NovaScotia	200	4893.831779
1995	NovaScotia	200	5001.506329
1996	NovaScotia	200	4895.437256
1997	NovaScotia	200	5011.051154
1998	NovaScotia	200	5129.387001
1999	NovaScotia	200	5490.62228
2000	NovaScotia	200	5501.571286
2001	NovaScotia	200	5420.809491
2002	NovaScotia	200	5559.412782
2003	NovaScotia	200	5904.290575
2004	NovaScotia	200	5879.869296
2005	NovaScotia	200	5817.245939
2006	NovaScotia	200	5655.675724
2007	NovaScotia	200	5544.200775
2008	NovaScotia	200	5499.046037
2009	NovaScotia	200	5223.587289
2010	NovaScotia	200	5487.673554
2011	NovaScotia	200	5899.381362
2012	NovaScotia	200	5557.090574
2013	NovaScotia	200	5109.837559
2014	NovaScotia	200	4650.688907
2015	NovaScotia	200	5156.727193
2016	NovaScotia	200	5159.057586
2017	NovaScotia	200	5431.89112
2018	NovaScotia	200	5806.646944
