Year	Region	CategoryID	CO2eq
1990	Ontario	100	132181.0934
1991	Ontario	100	130732.6246
1992	Ontario	100	134089.9839
1993	Ontario	100	126618.9577
1994	Ontario	100	126870.2354
1995	Ontario	100	130293.3522
1996	Ontario	100	138292.6121
1997	Ontario	100	145157.0133
1998	Ontario	100	149099.7783
1999	Ontario	100	156303.8742
2000	Ontario	100	166547.7159
2001	Ontario	100	159882.7546
2002	Ontario	100	162948.5177
2003	Ontario	100	164807.7685
2004	Ontario	100	158450.8713
2005	Ontario	100	161991.7571
2006	Ontario	100	152052.3877
2007	Ontario	100	156881.0787
2008	Ontario	100	148722.3498
2009	Ontario	100	129797.9753
2010	Ontario	100	136177.5672
2011	Ontario	100	133689.0713
2012	Ontario	100	128156.8378
2013	Ontario	100	128695.6352
2014	Ontario	100	125987.0005
2015	Ontario	100	124578.2068
2016	Ontario	100	120300.0881
2017	Ontario	100	117248.6085
2018	Ontario	100	126409.3307
1990	Ontario	130	99.962888
1991	Ontario	130	18.8047376
1992	Ontario	130	108.8527458
1993	Ontario	130	108.5111062
1994	Ontario	130	151.719309
1995	Ontario	130	181.9924056
1996	Ontario	130	56.05119446
1997	Ontario	130	154.5165473
1998	Ontario	130	144.6826574
1999	Ontario	130	194.0223892
2000	Ontario	130	180.5039968
2001	Ontario	130	121.9804518
2002	Ontario	130	203.8560631
2003	Ontario	130	153.1582013
2004	Ontario	130	237.5503087
2005	Ontario	130	169.1493299
2006	Ontario	130	114.6626955
2007	Ontario	130	121.2478438
2008	Ontario	130	166.4050936
2009	Ontario	130	245.709907
2010	Ontario	130	176.1499648
2011	Ontario	130	139.2117553
2012	Ontario	130	131.6731824
2013	Ontario	130	98.76590817
2014	Ontario	130	61.06798903
2015	Ontario	130	71.48373477
2016	Ontario	130	76.09755881
2017	Ontario	130	30.78869859
2018	Ontario	130	58.89972554
1990	Ontario	200	47190.31843
1991	Ontario	200	45604.7399
1992	Ontario	200	47244.5243
1993	Ontario	200	48366.31618
1994	Ontario	200	49487.04937
1995	Ontario	200	51293.47979
1996	Ontario	200	52558.93009
1997	Ontario	200	54560.5316
1998	Ontario	200	55597.18915
1999	Ontario	200	58335.45568
2000	Ontario	200	59059.56035
2001	Ontario	200	57320.70703
2002	Ontario	200	58867.95397
2003	Ontario	200	59335.40169
2004	Ontario	200	60526.09175
2005	Ontario	200	63468.54633
2006	Ontario	200	61400.33514
2007	Ontario	200	60011.77519
2008	Ontario	200	58589.24
2009	Ontario	200	58305.2675
2010	Ontario	200	60120.38711
2011	Ontario	200	59985.6748
2012	Ontario	200	57507.91444
2013	Ontario	200	59919.841
2014	Ontario	200	58229.88665
2015	Ontario	200	59644.56249
2016	Ontario	200	59358.65542
2017	Ontario	200	60013.74966
2018	Ontario	200	62421.39223
