Year	Region	CategoryID	CO2eq
1990	PEI	100	1516.364293
1991	PEI	100	1462.383955
1992	PEI	100	1426.298706
1993	PEI	100	1436.479077
1994	PEI	100	1445.011813
1995	PEI	100	1427.615951
1996	PEI	100	1490.159544
1997	PEI	100	1554.794802
1998	PEI	100	1514.371488
1999	PEI	100	1509.392706
2000	PEI	100	1640.018705
2001	PEI	100	1557.849476
2002	PEI	100	1548.400052
2003	PEI	100	1605.195036
2004	PEI	100	1598.622053
2005	PEI	100	1529.356827
2006	PEI	100	1488.757661
2007	PEI	100	1572.965577
2008	PEI	100	1506.185832
2009	PEI	100	1509.56517
2010	PEI	100	1557.861226
2011	PEI	100	1709.575251
2012	PEI	100	1600.00678
2013	PEI	100	1328.891302
2014	PEI	100	1226.918533
2015	PEI	100	1189.913995
2016	PEI	100	1197.309384
2017	PEI	100	1213.672656
2018	PEI	100	1157.729464
1990	PEI	130	0
1991	PEI	130	0
1992	PEI	130	0
1993	PEI	130	0
1994	PEI	130	0
1995	PEI	130	0
1996	PEI	130	0
1997	PEI	130	0
1998	PEI	130	0
1999	PEI	130	0
2000	PEI	130	0
2001	PEI	130	0
2002	PEI	130	0
2003	PEI	130	0
2004	PEI	130	0
2005	PEI	130	0
2006	PEI	130	0
2007	PEI	130	0
2008	PEI	130	0
2009	PEI	130	0
2010	PEI	130	0
2011	PEI	130	0
2012	PEI	130	0
2013	PEI	130	0
2014	PEI	130	0
2015	PEI	130	0
2016	PEI	130	0
2017	PEI	130	0
2018	PEI	130	0
1990	PEI	200	735.5736492
1991	PEI	200	713.1609902
1992	PEI	200	691.3442285
1993	PEI	200	699.4738478
1994	PEI	200	739.1746008
1995	PEI	200	752.3178474
1996	PEI	200	770.1499541
1997	PEI	200	792.9117685
1998	PEI	200	829.1040433
1999	PEI	200	872.3465036
2000	PEI	200	871.8684853
2001	PEI	200	851.010557
2002	PEI	200	859.2500986
2003	PEI	200	876.2903897
2004	PEI	200	888.1694467
2005	PEI	200	882.1877123
2006	PEI	200	861.0182044
2007	PEI	200	866.7855219
2008	PEI	200	845.2830089
2009	PEI	200	855.3094824
2010	PEI	200	875.4741504
2011	PEI	200	951.8287038
2012	PEI	200	895.3497884
2013	PEI	200	764.2008711
2014	PEI	200	752.080411
2015	PEI	200	764.3112248
2016	PEI	200	802.0597242
2017	PEI	200	814.6466387
2018	PEI	200	791.7510091
