Year	Region	CategoryID	CO2eq
1990	Quebec	100	59038.43206
1991	Quebec	100	54204.59621
1992	Quebec	100	55716.67888
1993	Quebec	100	56094.16111
1994	Quebec	100	58724.42651
1995	Quebec	100	58237.55865
1996	Quebec	100	59558.41362
1997	Quebec	100	59726.30666
1998	Quebec	100	60764.97759
1999	Quebec	100	60881.49304
2000	Quebec	100	61126.11468
2001	Quebec	100	58327.74245
2002	Quebec	100	59879.70341
2003	Quebec	100	64715.93019
2004	Quebec	100	64977.56807
2005	Quebec	100	61167.42982
2006	Quebec	100	59844.27064
2007	Quebec	100	62259.70651
2008	Quebec	100	61055.0083
2009	Quebec	100	60599.39857
2010	Quebec	100	58023.89248
2011	Quebec	100	58885.54253
2012	Quebec	100	57869.33657
2013	Quebec	100	57493.14175
2014	Quebec	100	55496.93593
2015	Quebec	100	56408.34879
2016	Quebec	100	55769.32118
2017	Quebec	100	57809.03267
2018	Quebec	100	59466.05709
1990	Quebec	130	0
1991	Quebec	130	0
1992	Quebec	130	0
1993	Quebec	130	0
1994	Quebec	130	0
1995	Quebec	130	0
1996	Quebec	130	0
1997	Quebec	130	0
1998	Quebec	130	0
1999	Quebec	130	0
2000	Quebec	130	0
2001	Quebec	130	0
2002	Quebec	130	0
2003	Quebec	130	0
2004	Quebec	130	0
2005	Quebec	130	0
2006	Quebec	130	0
2007	Quebec	130	0
2008	Quebec	130	0
2009	Quebec	130	0
2010	Quebec	130	0
2011	Quebec	130	0
2012	Quebec	130	0
2013	Quebec	130	0
2014	Quebec	130	0
2015	Quebec	130	0
2016	Quebec	130	0
2017	Quebec	130	0
2018	Quebec	130	0
1990	Quebec	200	27072.68433
1991	Quebec	200	25627.80013
1992	Quebec	200	26204.74546
1993	Quebec	200	27120.30465
1994	Quebec	200	28432.12534
1995	Quebec	200	28867.55706
1996	Quebec	200	29001.30834
1997	Quebec	200	29763.00446
1998	Quebec	200	30691.28003
1999	Quebec	200	31417.57932
2000	Quebec	200	31095.65975
2001	Quebec	200	30470.39344
2002	Quebec	200	31202.21128
2003	Quebec	200	33164.80188
2004	Quebec	200	33565.55271
2005	Quebec	200	33340.71854
2006	Quebec	200	33316.97085
2007	Quebec	200	34689.49151
2008	Quebec	200	34941.9476
2009	Quebec	200	34691.5326
2010	Quebec	200	34579.84927
2011	Quebec	200	35867.6243
2012	Quebec	200	35244.92449
2013	Quebec	200	34676.6204
2014	Quebec	200	33050.17539
2015	Quebec	200	33628.35172
2016	Quebec	200	34085.96267
2017	Quebec	200	35806.37492
2018	Quebec	200	37541.9613
