Year	Region	CategoryID	CO2eq
1990	Saskatchewan	100	35815.23084
1991	Saskatchewan	100	35271.93775
1992	Saskatchewan	100	40467.68163
1993	Saskatchewan	100	42829.04993
1994	Saskatchewan	100	46695.41548
1995	Saskatchewan	100	48419.08299
1996	Saskatchewan	100	50077.04806
1997	Saskatchewan	100	52437.14411
1998	Saskatchewan	100	52998.42427
1999	Saskatchewan	100	53464.9412
2000	Saskatchewan	100	54423.44646
2001	Saskatchewan	100	53591.4403
2002	Saskatchewan	100	54680.7061
2003	Saskatchewan	100	54102.7538
2004	Saskatchewan	100	55282.27381
2005	Saskatchewan	100	54039.71123
2006	Saskatchewan	100	53738.34591
2007	Saskatchewan	100	55891.43837
2008	Saskatchewan	100	56051.1439
2009	Saskatchewan	100	55815.4979
2010	Saskatchewan	100	56180.75938
2011	Saskatchewan	100	55177.06812
2012	Saskatchewan	100	56185.09165
2013	Saskatchewan	100	57164.51069
2014	Saskatchewan	100	61033.6476
2015	Saskatchewan	100	62899.50639
2016	Saskatchewan	100	59941.20035
2017	Saskatchewan	100	62021.15431
2018	Saskatchewan	100	61653.89409
1990	Saskatchewan	130	2945.934985
1991	Saskatchewan	130	1457.330201
1992	Saskatchewan	130	2490.8353
1993	Saskatchewan	130	3078.288321
1994	Saskatchewan	130	4022.641916
1995	Saskatchewan	130	4220.22224
1996	Saskatchewan	130	3644.566191
1997	Saskatchewan	130	3944.085578
1998	Saskatchewan	130	4826.314569
1999	Saskatchewan	130	4930.669878
2000	Saskatchewan	130	4828.327491
2001	Saskatchewan	130	4994.152814
2002	Saskatchewan	130	5598.001151
2003	Saskatchewan	130	4830.715067
2004	Saskatchewan	130	5428.135891
2005	Saskatchewan	130	6078.438153
2006	Saskatchewan	130	5866.890436
2007	Saskatchewan	130	5903.368982
2008	Saskatchewan	130	5848.620912
2009	Saskatchewan	130	6446.998148
2010	Saskatchewan	130	6190.023711
2011	Saskatchewan	130	5873.571595
2012	Saskatchewan	130	5222.742575
2013	Saskatchewan	130	5144.698052
2014	Saskatchewan	130	6037.85825
2015	Saskatchewan	130	6523.093927
2016	Saskatchewan	130	5939.936793
2017	Saskatchewan	130	5843.162259
2018	Saskatchewan	130	5878.884143
1990	Saskatchewan	200	9160.973946
1991	Saskatchewan	200	9234.751882
1992	Saskatchewan	200	9868.573428
1993	Saskatchewan	200	10099.89085
1994	Saskatchewan	200	10622.16001
1995	Saskatchewan	200	10947.5677
1996	Saskatchewan	200	11249.23931
1997	Saskatchewan	200	11282.49501
1998	Saskatchewan	200	10950.48357
1999	Saskatchewan	200	11178.43532
2000	Saskatchewan	200	10965.53142
2001	Saskatchewan	200	9811.135092
2002	Saskatchewan	200	10337.92307
2003	Saskatchewan	200	10362.6578
2004	Saskatchewan	200	10340.37515
2005	Saskatchewan	200	11503.25734
2006	Saskatchewan	200	11500.32399
2007	Saskatchewan	200	12872.50382
2008	Saskatchewan	200	13613.41861
2009	Saskatchewan	200	13879.75209
2010	Saskatchewan	200	14628.82182
2011	Saskatchewan	200	14064.11714
2012	Saskatchewan	200	14808.72376
2013	Saskatchewan	200	16139.22584
2014	Saskatchewan	200	16589.57844
2015	Saskatchewan	200	16871.09876
2016	Saskatchewan	200	16409.01969
2017	Saskatchewan	200	16619.65213
2018	Saskatchewan	200	17390.67205
